"serial_no","colour reading","mono reading"
"W3048901637",0,73886
"L9084400921",0,0
"L7096860268",0,351171
"E335M121963",0,0
"K2148801834",0,382729
"E334MB21381",0,199679
"W794PB00923",52253,156811
"W914PB00800",0,119425
"W3049301305",0,228278
"W3048901187",0,198479
"W3048901368",0,241034
"W3048901067",0,214403
"W3048901065",0,331109
"W3048901043",0,357513
"W3048900985",0,0
"E335M420301",0,671725
"E335M121871",0,648801
"G145J500090",0,1519146
"W3048901734",0,116108
"W3049301292",0,182033
"E335M121693",0,0
"W3048905030",0,122697
"W3048905033",0,45487
"W3049404508",0,504522
"W3048901840",0,93774
"E335M122065",0,231133
"W3049301296",0,16118
"W3049404106",0,0
"W3048901418",0,110162
"W3048901791",0,121376
"G145J400267",0,331491
"G155P700972",0,752278
"77271680",0,2024912
"W3049404460",0,0
"E205R262024",0,0
"W795P404114",84593,48173
"W3048901045",0,286865
"E205R161884",11532,242594
"E205R261919",7189,119421
"K2169004534",0,559309
"W3048901800",0,178659
"W3058502496",0,272096
"W3058502495",0,258733
"G0179207341",0,658570
"E335M121948",0,434261
"E204R763277",62197,289384
"V5190100046",0,4479915
"W795P500850",53496,187804
"V4409210194",0,59375
"W3058502464",0,51033
"E335M122104",0,220820
"W3058604332",0,182316
"V4498905085",0,360062
"G185R150010",0,655878
"W912PA01604",0,228447
"L7016860330",0,398160
"W3048901416",0,80144
"W3049404463",0,72000
"W3049404103",0,144091
"W3058604331",0,0
"W3058605125",0,0
"W3058605114",0,0
"W3058605126",0,72000
"W3058605130",0,133900
"W3019508729",0,167437
"G145P600773",0,809081
"E155M520437",232956,641777
"E335M720072",0,0
"E335M620151",0,469976
"L8984100289",44442,302126
"W3058600644",0,0
"E335M620364",0,0
"V4498803100",0,331207
"V5M4700364",0,5514
"E155M533244",280950,907914
"W3058604335",0,44481
"W914P501038",0,0
"W3058503143",0,160529
"W3058600648",0,40628
"W3058502374",0,96463
"L6877161513",0,123464
"V9714203193",154260,145446
"V3L4902641",0,0
"W3058600651",0,148800
"W3058502375",0,0
"W3058900919",0,260502
"W795P403159",10719,98097
"E205R460003",46240,95652
"W3048901050",0,0
"W3058900915",0,0
"G0189603655",0,241449
"E335M620291",0,130368
"G165P400362",0,643750
"W3019000801",0,304984
"E335M420267",0,252731
"W3058900913",0,54527
"AK4C001579",10782,3711
"W795PB00422",0,0
"G155P800838",0,0
"W3058600646",0,0
"E335M620421",0,249337
"G445P600064",44942,40580
"W3049404466",0,0
"G475M930222",29485,274516
"W3059200814",0,22736
"E335M921057",0,429983
"W3048905004",0,63261
"L7076660109",0,230242
